C(12.10-13.10), -nan(ind), -nan(ind)
C(13.1-14.1), -nan(ind), -nan(ind)
C(13.2-14.2), -nan(ind), -nan(ind)
C(13.3-14.3), -nan(ind), -nan(ind)
C(13.4-14.4), -nan(ind), -nan(ind)
C(13.5-14.5), -nan(ind), -nan(ind)
C(13.6-14.6), -nan(ind), -nan(ind)
C(14.1-15.1), -nan(ind), -nan(ind)
C(14.2-15.2), -nan(ind), -nan(ind)
C(14.3-15.3), -nan(ind), -nan(ind)
C(14.4-15.4), -nan(ind), -nan(ind)
C(14.5-15.5), -nan(ind), -nan(ind)
C(14.6-15.6), -nan(ind), -nan(ind)
C(15.1-16.1), -nan(ind), -nan(ind)
C(15.2-16.2), -nan(ind), -nan(ind)
C(15.3-16.3), -nan(ind), -nan(ind)
C(15.4-16.4), -nan(ind), -nan(ind)
C(15.5-16.5), -nan(ind), -nan(ind)
C(16.0-17.0), -nan(ind), -nan(ind)
C(16.1-17.1), -nan(ind), -nan(ind)
C(16.2-17.2), -nan(ind), -nan(ind)
C(16.3-17.3), -nan(ind), -nan(ind)
C(16.4-17.4), -nan(ind), -nan(ind)
C(17.0-18.0), -nan(ind), -nan(ind)
C(17.1-18.1), -nan(ind), -nan(ind)
C(17.2-18.2), -nan(ind), -nan(ind)
C(17.3-18.3), -nan(ind), -nan(ind)
C(18.1-19.1), -nan(ind), -nan(ind)
