Block_name, x, y, z,z0,ks,theta_1,theta_5,theta_25,theta_50,theta_100,theta_200,theta_500,theta_1000,theta_2000,theta_5000,theta_10000
Soil(3.4.4),300,400,15,15,20,0.381917,0.309584,0.16762,0.138377,0.125843,0.122528,0.122127,0.122121,0.122121,0.122121,0.122121
Soil(4.0.0),400,0,4,4,20,0.403763,0.418816,0.446249,0.455868,0.463166,0.465046,0.465196,0.465196,0.465196,0.465196,0.465196
Soil(4.0.1),400,0,5,5,20,0.402923,0.414617,0.438145,0.447953,0.455333,0.457226,0.457377,0.457378,0.457378,0.457378,0.457378
Soil(4.0.2),400,0,6,6,20,0.402016,0.410081,0.42974,0.439879,0.447406,0.449325,0.449478,0.449478,0.449478,0.449478,0.449478
Soil(4.0.3),400,0,7,7,20,0.400871,0.404353,0.42076,0.431576,0.439321,0.441294,0.441451,0.441452,0.441452,0.441452,0.441452
Soil(4.0.4),400,0,8,8,20,0.398026,0.390131,0.409416,0.42277,0.431003,0.43303,0.433192,0.433192,0.433192,0.433192,0.433192
Soil(4.1.0),400,100,6,6,20,0.403232,0.416158,0.433583,0.441536,0.447847,0.449406,0.449479,0.449478,0.449478,0.449478,0.449478
Soil(4.1.1),400,100,7,7,20,0.402361,0.411803,0.42495,0.433278,0.439771,0.441377,0.441453,0.441452,0.441452,0.441452,0.441452
Soil(4.1.2),400,100,8,8,20,0.401339,0.406696,0.415084,0.424639,0.431465,0.433116,0.433193,0.433192,0.433192,0.433192,0.433192
Soil(4.1.3),400,100,9,9,20,0.399688,0.398439,0.400235,0.414678,0.422644,0.42447,0.424551,0.42455,0.42455,0.42455,0.42455
Soil(4.1.4),400,100,10,10,20,0.387834,0.339168,0.30616,0.399977,0.412253,0.414461,0.414565,0.414564,0.414564,0.414564,0.414564
Soil(4.2.0),400,200,8,8,20,0.403178,0.415892,0.429108,0.428704,0.432427,0.433314,0.433197,0.433192,0.433192,0.433192,0.433192
